Title,Authors,Journal,Year,DOI,Source
"Human activity recognition using deep electroencephalography learning,","Amirsaleh Salehzadeh, Andre P. Calitz, Jean Greyling,","Biomedical Signal Processing and Control,","2020,",https://doi.org/10.1016/j.bspc.2020.102094.,ScienceDirect
"Machine learning with ensemble stacking model for automated sleep staging using dual-channel EEG signal,","Santosh Kumar Satapathy, Akash Kumar Bhoi, D. Loganathan, Bidita Khandelwal, Paolo Barsocchi,","Biomedical Signal Processing and Control,","2021,",https://doi.org/10.1016/j.bspc.2021.102898.,ScienceDirect
"A sleep apnea-hypopnea syndrome automatic detection and subtype classification method based on LSTM-CNN,","Hui Yu, Dongyi Liu, Jing Zhao, Zhen Chen, Chengxiang Gou, Xueying Huang, Jinglai Sun, Xiaoyun Zhao,","Biomedical Signal Processing and Control,","2022,",https://doi.org/10.1016/j.bspc.2021.103240.,ScienceDirect
"Obstructive sleep apnea detection from single-lead electrocardiogram signals using one-dimensional squeeze-and-excitation residual group network,","Quanan Yang, Lang Zou, Keming Wei, Guanzheng Liu,","Computers in Biology and Medicine,","2022,",https://doi.org/10.1016/j.compbiomed.2021.105124.,ScienceDirect
"Automatic detection of abnormal EEG signals using wavelet feature extraction and gradient boosting decision tree,","Hezam Albaqami, Ghulam Mubashar Hassan, Abdulhamit Subasi, Amitava Datta,","Biomedical Signal Processing and Control,","2021,",https://doi.org/10.1016/j.bspc.2021.102957.,ScienceDirect
"A novel computer-aided diagnosis framework for EEG-based identification of neural diseases,","Muhammad Tariq Sadiq, Hesam Akbari, Siuly Siuly, Adnan Yousaf, Ateeq Ur Rehman,","Computers in Biology and Medicine,","2021,",https://doi.org/10.1016/j.compbiomed.2021.104922.,ScienceDirect
"Classification of epileptic EEG recordings using signal transforms and convolutional neural networks,","Rubén San-Segundo, Manuel Gil-Martín, Luis Fernando D'Haro-Enríquez, José Manuel Pardo,","Computers in Biology and Medicine,","2019,",https://doi.org/10.1016/j.compbiomed.2019.04.031.,ScienceDirect
"Detection of schizophrenia using hybrid of deep learning and brain effective connectivity image from electroencephalogram signal,","Sara Bagherzadeh, Mohsen Sadat Shahabi, Ahmad Shalbaf,","Computers in Biology and Medicine,","2022,",https://doi.org/10.1016/j.compbiomed.2022.105570.,ScienceDirect
"Schizophrenia detection technique using multivariate iterative filtering and multichannel EEG signals,","Kritiprasanna Das, Ram Bilas Pachori,","Biomedical Signal Processing and Control,","2021,",https://doi.org/10.1016/j.bspc.2021.102525.,ScienceDirect
"Multi-classification of arrhythmias using ResNet with CBAM on CWGAN-GP augmented ECG Gramian Angular Summation Field,","Ke Ma, Chang'an A. Zhan, Feng Yang,","Biomedical Signal Processing and Control,","2022,",https://doi.org/10.1016/j.bspc.2022.103684.,ScienceDirect
"Deep convolutional neural network for the automated detection and diagnosis of seizure using EEG signals,","U. Rajendra Acharya, Shu Lih Oh, Yuki Hagiwara, Jen Hong Tan, Hojjat Adeli,","Computers in Biology and Medicine,","2018,",https://doi.org/10.1016/j.compbiomed.2017.09.017.,ScienceDirect
"Classifying creativity: Applying machine learning techniques to divergent thinking EEG data,","Carl E. Stevens, Darya L. Zabelina,","NeuroImage,","2020,",https://doi.org/10.1016/j.neuroimage.2020.116990.,ScienceDirect
"FFT-based deep feature learning method for EEG classification,","Mingyang Li, Wanzhong Chen,","Biomedical Signal Processing and Control,","2021,",https://doi.org/10.1016/j.bspc.2021.102492.,ScienceDirect
"Machine learning classification of maladaptive rumination and cognitive distraction in terms of frequency specific complexity,","Serap Aydın, Barış Akın,","Biomedical Signal Processing and Control,","2022,",https://doi.org/10.1016/j.bspc.2022.103740.,ScienceDirect
"Novel automated PD detection system using aspirin pattern with EEG signals,","Prabal Datta Barua, Sengul Dogan, Turker Tuncer, Mehmet Baygin, U. Rajendra Acharya,","Computers in Biology and Medicine,","2021,",https://doi.org/10.1016/j.compbiomed.2021.104841.,ScienceDirect
"Locating abnormal heartbeats in ECG segments based on deep weakly supervised learning,","Yanni Tong, Yinan Sun, Peng Zhou, Yang Shen, Hua Jiang, Xianzheng Sha, Shijie Chang,","Biomedical Signal Processing and Control,","2021,",https://doi.org/10.1016/j.bspc.2021.102674.,ScienceDirect
"Computer aided detection of prostate cancer using multiwavelength photoacoustic data with convolutional neural network,","Nikhil Dhengre, Saugata Sinha, Bhargava Chinni, Vikram Dogra, Navalgund Rao,","Biomedical Signal Processing and Control,","2020,",https://doi.org/10.1016/j.bspc.2020.101952.,ScienceDirect
"End-to-end sleep staging using convolutional neural network in raw single-channel EEG,","Fan Li, Rui Yan, Reza Mahini, Lai Wei, Zhiqiang Wang, Klaus Mathiak, Rong Liu, Fengyu Cong,","Biomedical Signal Processing and Control,","2021,",https://doi.org/10.1016/j.bspc.2020.102203.,ScienceDirect
"An EEG based real-time epilepsy seizure detection approach using discrete wavelet transform and machine learning methods,","Mingkan Shen, Peng Wen, Bo Song, Yan Li,","Biomedical Signal Processing and Control,","2022,",https://doi.org/10.1016/j.bspc.2022.103820.,ScienceDirect
"Sparse spectrum based swarm decomposition for robust nonstationary signal analysis with application to sleep apnea detection from EEG,","Shailesh Vitthalrao Bhalerao, Ram Bilas Pachori,","Biomedical Signal Processing and Control,","2022,",https://doi.org/10.1016/j.bspc.2022.103792.,ScienceDirect
"An efficient epileptic seizure classification system using empirical wavelet transform and multi-fuse reduced deep convolutional neural network with digital implementation,","Susanta Kumar Rout, Mrutyunjaya Sahani, Chinmayee Dora, Pradyut Kumar Biswal, Birendra Biswal,","Biomedical Signal Processing and Control,","2022,",https://doi.org/10.1016/j.bspc.2021.103281.,ScienceDirect
"Machine learning in medical applications: A review of state-of-the-art methods,","Mohammad Shehab, Laith Abualigah, Qusai Shambour, Muhannad A. Abu-Hashem, Mohd Khaled Yousef Shambour, Ahmed Izzat Alsalibi, Amir H. Gandomi,","Computers in Biology and Medicine,","2022,",https://doi.org/10.1016/j.compbiomed.2022.105458.,ScienceDirect
"Convolutional neural network with autoencoder-assisted multiclass labelling for seizure detection based on scalp electroencephalography,","Hirokazu Takahashi, Ali Emami, Takashi Shinozaki, Naoto Kunii, Takeshi Matsuo, Kensuke Kawai,","Computers in Biology and Medicine,","2020,",https://doi.org/10.1016/j.compbiomed.2020.104016.,ScienceDirect
"A review of feature extraction and performance evaluation in epileptic seizure detection using EEG,","Poomipat Boonyakitanont, Apiwat Lek-uthai, Krisnachai Chomtho, Jitkomut Songsiri,","Biomedical Signal Processing and Control,","2020,",https://doi.org/10.1016/j.bspc.2019.101702.,ScienceDirect
"Deep learning for neuroimaging-based diagnosis and rehabilitation of Autism Spectrum Disorder: A review,","Marjane Khodatars, Afshin Shoeibi, Delaram Sadeghi, Navid Ghaasemi, Mahboobeh Jafari, Parisa Moridian, Ali Khadem, Roohallah Alizadehsani, Assef Zare, Yinan Kong, Abbas Khosravi, Saeid Nahavandi, Sadiq Hussain, U. Rajendra Acharya, Michael Berk,","Computers in Biology and Medicine,","2021,",https://doi.org/10.1016/j.compbiomed.2021.104949.,ScienceDirect
"AFCNNet: Automated detection of AF using chirplet transform and deep convolutional bidirectional long short term memory network with ECG signals,","Tejas Radhakrishnan, Jay Karhade, S.K. Ghosh, P.R. Muduli, R.K. Tripathy, U. Rajendra Acharya,","Computers in Biology and Medicine,","2021,",https://doi.org/10.1016/j.compbiomed.2021.104783.,ScienceDirect
"ECG-iCOVIDNet: Interpretable AI model to identify changes in the ECG signals of post-COVID subjects,","Amulya Agrawal, Aniket Chauhan, Manu Kumar Shetty, Girish M. P, Mohit D. Gupta, Anubha Gupta,","Computers in Biology and Medicine,","2022,",https://doi.org/10.1016/j.compbiomed.2022.105540.,ScienceDirect
"Computer aided diagnosis system using deep convolutional neural networks for ADHD subtypes,","Amirmasoud Ahmadi, Mehrdad Kashefi, Hassan Shahrokhi, Mohammad Ali Nazari,","Biomedical Signal Processing and Control,","2021,",https://doi.org/10.1016/j.bspc.2020.102227.,ScienceDirect
"Using interictal seizure-free EEG data to recognise patients with epilepsy based on machine learning of brain functional connectivity,","Jun Cao, Kacper Grajcar, Xiaocai Shan, Yifan Zhao, Jiaru Zou, Liangyu Chen, Zhiqing Li, Richard Grunewald, Panagiotis Zis, Matteo De Marco, Zoe Unwin, Daniel Blackburn, Ptolemaios G. Sarrigiannis,","Biomedical Signal Processing and Control,","2021,",https://doi.org/10.1016/j.bspc.2021.102554.,ScienceDirect
"A vision-based approach for fall detection using multiple cameras and convolutional neural networks: A case study using the UP-Fall detection dataset,","Ricardo Espinosa, Hiram Ponce, Sebastián Gutiérrez, Lourdes Martínez-Villaseñor, Jorge Brieva, Ernesto Moya-Albor,","Computers in Biology and Medicine,","2019,",https://doi.org/10.1016/j.compbiomed.2019.103520.,ScienceDirect
"Classification of epileptic seizures from electroencephalogram (EEG) data using bidirectional short-term memory (Bi-LSTM) network architecture,","Erdem Tuncer, Emine Doğru Bolat,","Biomedical Signal Processing and Control,","2022,",https://doi.org/10.1016/j.bspc.2021.103462.,ScienceDirect
"A benchmark for prediction of psychiatric multimorbidity from resting EEG data in a large pediatric sample,","Nicolas Langer, Martyna Beata Plomecka, Marius Tröndle, Anuja Negi, Tzvetan Popov, Michael Milham, Stefan Haufe,","NeuroImage,","119348,",(https://www.sciencedirect.com/science/article/pii/S1053811922004670),ScienceDirect
"Deep learning for predicting respiratory rate from biosignals,","Amit Krishan Kumar, M. Ritam, Lina Han, Shuli Guo, Rohitash Chandra,","Computers in Biology and Medicine,","2022,",https://doi.org/10.1016/j.compbiomed.2022.105338.,ScienceDirect
"Multi-channel neuro signal classification using Adam-based coyote optimization enabled deep belief network,","Vanga Karunakar Reddy, Ravi Kumar AV,","Biomedical Signal Processing and Control,","2022,",https://doi.org/10.1016/j.bspc.2022.103774.,ScienceDirect
"Semantic segmentation of ECG waves using hybrid channel-mix convolutional and bidirectional LSTM,","Aboli N. Londhe, Mithilesh Atulkar,","Biomedical Signal Processing and Control,","2021,",https://doi.org/10.1016/j.bspc.2020.102162.,ScienceDirect
"Evaluation of deep convolutional neural networks for detection of freezing of gait in Parkinson’s disease patients,","Yi Xia, Jun Zhang, Qiang Ye, Nan Cheng, Yixiang Lu, Dexiang Zhang,","Biomedical Signal Processing and Control,","2018,",https://doi.org/10.1016/j.bspc.2018.07.015.,ScienceDirect
"Patient-specific method of sleep electroencephalography using wavelet packet transform and Bi-LSTM for epileptic seizure prediction,","Chenchen Cheng, Bo You, Yan Liu, Yakang Dai,","Biomedical Signal Processing and Control,","2021,",https://doi.org/10.1016/j.bspc.2021.102963.,ScienceDirect
"Automated technique for EEG signal processing to detect seizure with optimized Variable Gaussian Filter and Fuzzy RBFELM classifier,","A Harishvijey, J Benadict Raja,","Biomedical Signal Processing and Control,","2022,",https://doi.org/10.1016/j.bspc.2021.103450.,ScienceDirect
"Epileptic-seizure classification using phase-space representation of FBSE-EWT based EEG sub-band signals and ensemble learners,","Arti Anuragi, Dilip Singh Sisodia, Ram Bilas Pachori,","Biomedical Signal Processing and Control,","2022,",https://doi.org/10.1016/j.bspc.2021.103138.,ScienceDirect
"Cross-session classification of mental workload levels using EEG and an adaptive deep learning model,","Zhong Yin, Jianhua Zhang,","Biomedical Signal Processing and Control,","2017,",https://doi.org/10.1016/j.bspc.2016.11.013.,ScienceDirect
"A robust deep learning approach for automatic classification of seizures against non-seizures,","Xinghua Yao, Xiaojin Li, Qiang Ye, Yan Huang, Qiang Cheng, Guo-Qiang Zhang,","Biomedical Signal Processing and Control,","2021,",https://doi.org/10.1016/j.bspc.2020.102215.,ScienceDirect
"Robust learning from corrupted EEG with dynamic spatial filtering,","Hubert Banville, Sean U.N. Wood, Chris Aimone, Denis-Alexander Engemann, Alexandre Gramfort,","NeuroImage,","2022,",https://doi.org/10.1016/j.neuroimage.2022.118994.,ScienceDirect
"Reduced features set neural network approach based on high-resolution time-frequency images for cardiac abnormality detection,","Imran Shafi, Aesar Aziz, Sadia Din, Imran Ashraf,","Computers in Biology and Medicine,","2022,",https://doi.org/10.1016/j.compbiomed.2022.105425.,ScienceDirect
"Domain adaptation for epileptic EEG classification using adversarial learning and Riemannian manifold,","Peizhen Peng, Liping Xie, Kanjian Zhang, Jinxia Zhang, Lu Yang, Haikun Wei,","Biomedical Signal Processing and Control,","2022,",https://doi.org/10.1016/j.bspc.2022.103555.,ScienceDirect
"Accurate lateralization and classification of MRI-negative 18F-FDG-PET-positive temporal lobe epilepsy using double inversion recovery and machine-learning,","Iman Beheshti, Daichi Sone, Norihide Maikusa, Yukio Kimura, Yoko Shigemoto, Noriko Sato, Hiroshi Matsuda,","Computers in Biology and Medicine,","2021,",https://doi.org/10.1016/j.compbiomed.2021.104805.,ScienceDirect
"EEG motor imagery classification using dynamic connectivity patterns and convolutional autoencoder,","Sayeh Mirzaei, Parisa Ghasemi,","Biomedical Signal Processing and Control,","2021,",https://doi.org/10.1016/j.bspc.2021.102584.,ScienceDirect
"A hybrid decision support system for automatic detection of Schizophrenia using EEG signals,","Smith K. Khare, Varun Bajaj,","Computers in Biology and Medicine,","2022,",https://doi.org/10.1016/j.compbiomed.2021.105028.,ScienceDirect
"A novel approach based on wavelet analysis and arithmetic coding for automated detection and diagnosis of epileptic seizure in EEG signals using machine learning techniques,","Hafeez Ullah Amin, Mohd Zuki Yusoff, Rana Fayyaz Ahmad,","Biomedical Signal Processing and Control,","2020,",https://doi.org/10.1016/j.bspc.2019.101707.,ScienceDirect
"A wavelet-based capsule neural network for ECG biometric identification,","Imane El Boujnouni, Hassan Zili, Abdelhak Tali, Tarik Tali, Yassin Laaziz,","Biomedical Signal Processing and Control,","2022,",https://doi.org/10.1016/j.bspc.2022.103692.,ScienceDirect
"Classification and identification of epileptic EEG signals based on signal enhancement,","Jun Jing, Xuewen Pang, Zuozhou Pan, Fengjie Fan, Zong Meng,","Biomedical Signal Processing and Control,","2022,",https://doi.org/10.1016/j.bspc.2021.103248.,ScienceDirect
"Cascaded LSTM recurrent neural network for automated sleep stage classification using single-channel EEG signals,","Nicola Michielli, U. Rajendra Acharya, Filippo Molinari,","Computers in Biology and Medicine,","2019,",https://doi.org/10.1016/j.compbiomed.2019.01.013.,ScienceDirect
"Cross-wavelet assisted convolution neural network (AlexNet) approach for phonocardiogram signals classification,","Priyadarshiny Dhar, Saibal Dutta, Vivekananda Mukherjee,","Biomedical Signal Processing and Control,","2021,",https://doi.org/10.1016/j.bspc.2020.102142.,ScienceDirect
"Automated inter-patient seizure detection using multichannel Convolutional and Recurrent Neural Networks,","Jeff Craley, Emily Johnson, Christophe Jouny, Archana Venkataraman,","Biomedical Signal Processing and Control,","2021,",https://doi.org/10.1016/j.bspc.2020.102360.,ScienceDirect
"Graph Convolutional Network Enabled Two-Stream Learning Architecture for Diabetes Classification based on Flash Glucose Monitoring Data,","Yicun Liu, Wei Liu, Haorui Chen, Xiaoling Cai, Rui Zhang, Zhe An, Dawei Shi, Linong Ji,","Biomedical Signal Processing and Control,","2021,",https://doi.org/10.1016/j.bspc.2021.102896.,ScienceDirect
"Modeling the efficacy of different anti-angiogenic drugs on treatment of solid tumors using 3D computational modeling and machine learning,","Milad Mousavi, Mahsa Dehghan Manshadi, Madjid Soltani, Farshad M. Kashkooli, Arman Rahmim, Amir Mosavi, Michal Kvasnica, Peter M. Atkinson, Levente Kovács, Andras Koltay, Norbert Kiss, Hojjat Adeli,","Computers in Biology and Medicine,","2022,",https://doi.org/10.1016/j.compbiomed.2022.105511.,ScienceDirect
"Electrical status epilepticus during sleep electroencephalogram waveform identification and analysis based on a graph convolutional neural network,","Lu Meng, Jinzhou Hu, Yu Deng, Yue Hu,","Biomedical Signal Processing and Control,","2022,",https://doi.org/10.1016/j.bspc.2022.103788.,ScienceDirect
"MDD-TSVM: A novel semisupervised-based method for major depressive disorder detection using electroencephalogram signals,","Hongtuo Lin, Chufan Jian, Yang Cao, Xiaoguang Ma, Hailiang Wang, Fen Miao, Xiaomao Fan, Jinzhu Yang, Gansen Zhao, Hui Zhou,","Computers in Biology and Medicine,","2022,",https://doi.org/10.1016/j.compbiomed.2021.105039.,ScienceDirect
"Detection of epileptic seizures on EEG signals using ANFIS classifier, autoencoders and fuzzy entropies,","Afshin Shoeibi, Navid Ghassemi, Marjane Khodatars, Parisa Moridian, Roohallah Alizadehsani, Assef Zare, Abbas Khosravi, Abdulhamit Subasi, U. Rajendra Acharya, Juan M. Gorriz,","Biomedical Signal Processing and Control,","2022,",https://doi.org/10.1016/j.bspc.2021.103417.,ScienceDirect
"Hybrid optimized convolutional neural network for efficient classification of ECG signals in healthcare monitoring,","M. Karthiga, V. Santhi, S. Sountharrajan,","Biomedical Signal Processing and Control,","2022,",https://doi.org/10.1016/j.bspc.2022.103731.,ScienceDirect
"Discrete wavelet transform based data representation in deep neural network for gait abnormality detection,","Jayeeta Chakraborty, Anup Nandy,","Biomedical Signal Processing and Control,","2020,",https://doi.org/10.1016/j.bspc.2020.102076.,ScienceDirect
"Seizures classification based on higher order statistics and deep neural network,","Rahul Sharma, Ram Bilas Pachori, Pradip Sircar,","Biomedical Signal Processing and Control,","2020,",https://doi.org/10.1016/j.bspc.2020.101921.,ScienceDirect
"Classification and analysis of epileptic EEG recordings using convolutional neural network and class activation mapping,","Abdulnasir Yildiz, Hasan Zan, Sherif Said,","Biomedical Signal Processing and Control,","2021,",https://doi.org/10.1016/j.bspc.2021.102720.,ScienceDirect
"Multi-source signal alignment and efficient multi-dimensional feature classification in the application of EEG-based subject-independent drowsiness detection,","Mu Shen, Bing Zou, Xinhang Li, Yubo Zheng, Lei Li, Lin Zhang,","Biomedical Signal Processing and Control,","2021,",https://doi.org/10.1016/j.bspc.2021.103023.,ScienceDirect
"A convolutional neural network-based diagnostic method using resting-state electroencephalograph signals for major depressive and bipolar disorders,","Yu Lei, Abdelkader Nasreddine Belkacem, Xiaotian Wang, Sha Sha, Changming Wang, Chao Chen,","Biomedical Signal Processing and Control,","2022,",https://doi.org/10.1016/j.bspc.2021.103370.,ScienceDirect
"IoT-based ECG monitoring for arrhythmia classification using Coyote Grey Wolf optimization-based deep learning CNN classifier,","Abhishek Kumar, SwarnAvinash Kumar, Vishal Dutt, Ashutosh Kumar Dubey, Vicente García-Díaz,","Biomedical Signal Processing and Control,","2022,",https://doi.org/10.1016/j.bspc.2022.103638.,ScienceDirect
"Development and assessment of machine learning based heart disease detection using imbalanced heart sound signal,","Adyasha Rath, Debahuti Mishra, Ganapati Panda, Madhumita Pal,","Biomedical Signal Processing and Control,","2022,",https://doi.org/10.1016/j.bspc.2022.103730.,ScienceDirect
"A 65nm/0.448 mW EEG processor with parallel architecture SVM and lifting wavelet transform for high-performance and low-power epilepsy detection,","Yongzhong Wen, Yuejun Zhang, Liang Wen, Haojie Cao, Guangpeng Ai, Minghong Gu, Pengjun Wang, Huiling Chen,","Computers in Biology and Medicine,","2022,",https://doi.org/10.1016/j.compbiomed.2022.105366.,ScienceDirect
"Cuffless blood pressure estimation based on composite neural network and graphics information,","Ye Qiu, Dongdong Liu, Guoyu Yang, Dezhen Qi, Yuer Lu, Qingzu He, Xiangyu Qian, Xiang Li, Yuping Cao, Jianwei Shuai,","Biomedical Signal Processing and Control,","2021,",https://doi.org/10.1016/j.bspc.2021.103001.,ScienceDirect
"Machine learning techniques for diagnosis of alzheimer disease, mild cognitive disorder, and other types of dementia,","Golrokh Mirzaei, Hojjat Adeli,","Biomedical Signal Processing and Control,","2022,",https://doi.org/10.1016/j.bspc.2021.103293.,ScienceDirect
"Classification of EEG signals from young adults with dyslexia combining a Brain Computer Interface device and an Interactive Linguistic Software Tool,","Pavlos Christodoulides, Andreas Miltiadous, Katerina D. Tzimourta, Dimitrios Peschos, Georgios Ntritsos, Victoria Zakopoulou, Nikolaos Giannakeas, Loukas G. Astrakas, Markos G. Tsipouras, Konstantinos I. Tsamis, Euripidis Glavas, Alexandros T. Tzallas,","Biomedical Signal Processing and Control,","2022,",https://doi.org/10.1016/j.bspc.2022.103646.,ScienceDirect
"Spark and Rule-KNN based scalable machine learning framework for EEG deceit identification,","Santosh Thakur, Ramesh Dharavath, Damodar Reddy Edla,","Biomedical Signal Processing and Control,","2020,",https://doi.org/10.1016/j.bspc.2020.101886.,ScienceDirect
"MEGnet: Automatic ICA-based artifact removal for MEG using spatiotemporal convolutional neural networks,","Alex H. Treacher, Prabhat Garg, Elizabeth Davenport, Ryan Godwin, Amy Proskovec, Leonardo Guimaraes Bezerra, Gowtham Murugesan, Ben Wagner, Christopher T. Whitlow, Joel D. Stitzel, Joseph A. Maldjian, Albert A. Montillo,","NeuroImage,","2021,",https://doi.org/10.1016/j.neuroimage.2021.118402.,ScienceDirect
"Automated temporal lobe epilepsy and psychogenic nonepileptic seizure patient discrimination from multichannel EEG recordings using DWT based analysis,","Cansel Fıçıcı, Ziya Telatar, Osman Eroğul,","Biomedical Signal Processing and Control,","2022,",https://doi.org/10.1016/j.bspc.2022.103755.,ScienceDirect
"Automatic detection of A-phase onsets based on convolutional neural networks,","Martin O. Mendez, Edgar R. Arce-Santana, Alfonso Alba, Valdemar Arce-Guevara, José S. Murguía-Ibarra, Anna M. Bianchi,","Biomedical Signal Processing and Control,","2022,",https://doi.org/10.1016/j.bspc.2022.103800.,ScienceDirect
"Self-supervised representation learning from 12-lead ECG data,","Temesgen Mehari, Nils Strodthoff,","Computers in Biology and Medicine,","2022,",https://doi.org/10.1016/j.compbiomed.2021.105114.,ScienceDirect
"Ternary-task convolutional bidirectional neural turing machine for assessment of EEG-based cognitive workload,","Weizheng Qiao, Xiaojun Bi,","Biomedical Signal Processing and Control,","2020,",https://doi.org/10.1016/j.bspc.2019.101745.,ScienceDirect
"EMG-based posture classification using a convolutional neural network for a myoelectric hand,","Yusuke Yamanoi, Yosuke Ogiri, Ryu Kato,","Biomedical Signal Processing and Control,","2020,",https://doi.org/10.1016/j.bspc.2019.101574.,ScienceDirect
"Automatic epileptic EEG detection using convolutional neural network with improvements in time-domain,","Zuochen Wei, Junzhong Zou, Jian Zhang, Jianqiang Xu,","Biomedical Signal Processing and Control,","2019,",https://doi.org/10.1016/j.bspc.2019.04.028.,ScienceDirect
"sEMG pattern recognition based on recurrent neural network,","Tarek M. Bittibssi, Abd Haliem Zekry, Mohamed A. Genedy, Shady A. Maged,","Biomedical Signal Processing and Control,","2021,",https://doi.org/10.1016/j.bspc.2021.103048.,ScienceDirect
"Accurate classification of depression through optimized machine learning models on high-dimensional noisy data,","Xingang Fang, Julia Klawohn, Alexander De Sabatino, Harsh Kundnani, Jonathan Ryan, Weikuan Yu, Greg Hajcak,","Biomedical Signal Processing and Control,","2022,",https://doi.org/10.1016/j.bspc.2021.103237.,ScienceDirect
"Reconstructed phase space portraits for detecting brain diseases using deep learning,","N. Ilakiyaselvan, A. Nayeemulla Khan, A. Shahina,","Biomedical Signal Processing and Control,","2022,",https://doi.org/10.1016/j.bspc.2021.103278.,ScienceDirect
"A deep learning based ensemble learning method for epileptic seizure prediction,","Syed Muhammad Usman, Shehzad Khalid, Sadaf Bashir,","Computers in Biology and Medicine,","2021,",https://doi.org/10.1016/j.compbiomed.2021.104710.,ScienceDirect
"An accurate automated schizophrenia detection using TQWT and statistical moment based feature extraction,","Mehmet Baygin,","Biomedical Signal Processing and Control,","2021,",https://doi.org/10.1016/j.bspc.2021.102777.,ScienceDirect
"A novel ensemble local graph structure based feature extraction network for EEG signal analysis,","Turker Tuncer, Sengul Dogan, Fatih Ertam, Abdulhamit Subasi,","Biomedical Signal Processing and Control,","2020,",https://doi.org/10.1016/j.bspc.2020.102006.,ScienceDirect
"Automated ASD detection using hybrid deep lightweight features extracted from EEG signals,","Mehmet Baygin, Sengul Dogan, Turker Tuncer, Prabal Datta Barua, Oliver Faust, N. Arunkumar, Enas W. Abdulhay, Elizabeth Emma Palmer, U. Rajendra Acharya,","Computers in Biology and Medicine,","2021,",https://doi.org/10.1016/j.compbiomed.2021.104548.,ScienceDirect
"Applications of deep learning techniques for automated multiple sclerosis detection using magnetic resonance imaging: A review,","Afshin Shoeibi, Marjane Khodatars, Mahboobeh Jafari, Parisa Moridian, Mitra Rezaei, Roohallah Alizadehsani, Fahime Khozeimeh, Juan Manuel Gorriz, Jónathan Heras, Maryam Panahiazar, Saeid Nahavandi, U. Rajendra Acharya,","Computers in Biology and Medicine,","2021,",https://doi.org/10.1016/j.compbiomed.2021.104697.,ScienceDirect
"Machine-learning-based diagnostics of EEG pathology,","Lukas A.W. Gemein, Robin T. Schirrmeister, Patryk Chrabąszcz, Daniel Wilson, Joschka Boedecker, Andreas Schulze-Bonhage, Frank Hutter, Tonio Ball,","NeuroImage,","2020,",https://doi.org/10.1016/j.neuroimage.2020.117021.,ScienceDirect
