Title,Authors,Journal,Year,DOI,Source
Geometric feature performance under downsampling for EEG classification tasks,"Bryan Bischof, Eric Bunch",preprints,2021,,Arxiv
MIN2Net: End-to-End Multi-Task Learning for Subject-Independent Motor Imagery EEG Classification,"Phairot Autthasan, Rattanaphon Chaisaen, Thapanun Sudhawiyangkul, Phurin Rangpong, Suktipol Kiatthaveephong, Nat Dilokthanakul, Gun Bhakdisongkhram, Huy Phan, Cuntai Guan, Theerawit Wilaiprasitporn",preprints,2021,,Arxiv
EEG-Inception: An Accurate and Robust End-to-End Neural Network for EEG-based Motor Imagery Classification,"Ce Zhang, Young-Keun Kim, Azim Eskandarian",preprints,2021,,Arxiv
Sinc-based convolutional neural networks for EEG-BCI-based motor imagery classification,"Alessandro Bria, Claudio Marrocco, Francesco Tortorella",preprints,2021,,Arxiv
Emotional EEG Classification using Connectivity Features and Convolutional Neural Networks,"Seong-Eun Moon, Chun-Jui Chen, Cho-Jui Hsieh, Jane-Ling Wang, Jong-Seok Lee",preprints,2021,,Arxiv
Resting-state EEG sex classification using selected brain connectivity representation,"Jean Li, Jeremiah D. Deng, Divya Adhia, Dirk de Ridder",preprints,2020,,Arxiv
Light-Weight 1-D Convolutional Neural Network Architecture for Mental Task Identification and Classification Based on Single-Channel EEG,"Manali Saini, Udit Satija, Madhur Deo Upadhayay",preprints,2020,,Arxiv
Classification of Tactile Perception and Attention on Natural Textures from EEG Signals,"Myoung-Ki Kim, Jeong-Hyun Cho, Ji-Hoon Jeong",preprints,2020,,Arxiv
Correct block-design experiments mitigate temporal correlation bias in EEG classification,"Simone Palazzo, Concetto Spampinato, Joseph Schmidt, Isaak Kavasidis, Daniela Giordano, Mubarak Shah",preprints,2020,,Arxiv
Comparison of Attention-based Deep Learning Models for EEG Classification,"Giulia Cisotto, Alessio Zanga, Joanna Chlebus, Italo Zoppis, Sara Manzoni, Urszula Markowska-Kaczmar",preprints,2020,,Arxiv
A Review of Deep Learning Approaches to EEG-Based Classification of Cybersickness in Virtual Reality,Caglar Yildirim,preprints,2020,,Arxiv
Deep learning-based classification of fine hand movements from low frequency EEG,"Giulia Bressan, Selina C. Wriessnegger, Giulia Cisotto",preprints,2020,,Arxiv
Representation learning for improved interpretability and classification accuracy of clinical factors from EEG,"Garrett Honke, Irina Higgins, Nina Thigpen, Vladimir Miskovic, Katie Link, Sunny Duan, Pramod Gupta, Julia Klawohn, Greg Hajcak",preprints,2020,,Arxiv
Deep learning-based i-EEG classification with convolutional neural networks for drug-target interaction prediction,"Konstantin Y. Kalitin, Alexey A. Nevzorov, Alexander A. Spasov, Petr I. Sotnikov",preprints,2020,,Arxiv
Selection of Proper EEG Channels for Subject Intention Classification Using Deep Learning,"Ghazale Ghorbanzade, Zahra Nabizadeh-ShahreBabak, Shadrokh Samavi, Nader Karimi, Ali Emami, Pejman Khadivi",preprints,2020,,Arxiv
Locked in Syndrome Machine Learning Classification using Sentence Comprehension EEG Data,Daniël van den Corput,preprints,2020,,Arxiv
Classification and Recognition of Encrypted EEG Data Neural Network,"Yongshuang Liu, Haiping Huang, Fu Xiao, Reza Malekian, Wenming Wang",preprints,2020,,Arxiv
Emotion-robust EEG Classification for Motor Imagery,Abdul Moeed,preprints,2020,,Arxiv
Classification of Visual Perception and Imagery based EEG Signals Using Convolutional Neural Networks,"Ji-Seon Bang, Ji-Hoon Jeong, Dong-Ok Won",preprints,2020,,Arxiv
Federated Transfer Learning for EEG Signal Classification,"Ce Ju, Dashan Gao, Ravikiran Mane, Ben Tan, Yang Liu, Cuntai Guan",preprints,2020,,Arxiv
Multi-level Binarized LSTM in EEG Classification for Wearable Devices,"Najmeh Nazari, Seyed Ahmad Mirsalari, Sima Sinaei, Mostafa E. Salehi, Masoud Daneshtalab",preprints,2020,,Arxiv
